"","Dolphin.ID","Dolphin.Name","Temporary.Dolphin.Ind","Sex","Sex.Certainty","Mother.ID","Father.ID","Father.ID.Certainty","Father.Notes","Haplotype","Haplotype.Certainty","Haplotype.Kin.ID.Based.On","Haplotype.Kin.DNA.Sample.Based.On","Haplotype.Researcher","Haplotype.Notes","Birth.Date.Accuracy","Birth.Date","Birth.Date.Earliest","Birth.Date.Latest","Birth.Date.Primary.Reason","Birth.Date.Secondary.Reason","Birth.Date.Primary.Assigner","Birth.Date.Secondary.Assigner","Birth.Notes","Death.Date.Accuracy","Death.Date","Death.Date.Primary.Reason","Death.Date.Secondary.Reason","Death.Date.Calc.Type","Death.Date.Primary.Assigner","Death.Date.Secondary.Assigner","Death.Notes","Weaning.Date.Accuracy","Weaning.Date","Weaning.Date.Primary.Reason","Weaning.Date.Secondary.Reason","Weaning.Date.Calc.Type","Weaning.Date.Primary.Assigner","Weaning.Date.Secondary.Assigner","Weaning.Age.Known","Weaning.Notes","Last.Seen.Year","Dolphin.Notes"
"58","ORY","ORYX","False","MALE","HIGH","IBX","YOB","HIGH","SNPs both parents.","D","","",NA,"","","MONTH ESTIMATE",2002-11-01,"","","SPRING SUMMER YOY","","JM","","NO SIZE INFO","","","","","","","","","WEEK ESTIMATE","2006-10-19","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","IBX HAD HYR A FEW MONTHS AFTER WEANING",2006,""
"59","PHD","PINHEAD","False","MALE","HIGH","PHA","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","DAY ESTIMATE",1997-11-01,"","","INFANT FIRST SIGHT","","MRH","","LOOKS ABOUT 1 WK.","","","","","","","","","WEEK ESTIMATE","2003-03-22","REDUCED MC ASSOCIATION","SIBLING BIRTH","MIDPOINT","JM","","YES","MOM WITHOUT CALF >50% IS THE DATE OF THE BIRTH OF THE NEXT CALF (PST)",2004,""
"60","PIL","PILLOW","False","","","BLK","","","maternal relative","A","","",NA,"","","MONTH ESTIMATE",2008-01-01,"","","INFANT FIRST SIGHT","","JM","","~5 moths old, looks healthy, df erect, no waves, no fetal lines, too small for a 1-Nov-07 bday","","","","","","","","","MONTH ESTIMATE","2011-09-21","","","MIDPOINT","SAS","","YES","Midpoint btw PIL last bp and DOA bday; BLK with DOA 28-Nov-11 and PIL without BLK 10-Dec-11",NA,""
"61","PKP","PORKPIE","False","UNKNOWN","","MIS","","","maternal relative","E","","",NA,"","","MONTH ESTIMATE",2005-11-01,"2005-09-01","2006-02-01","SPRING SUMMER YOY","","EK","","only one sighting and must have been yoy but no notes on size.","YEAR ESTIMATE","2008-02-09","UNCERTAIN SURVIVAL STATUS PREWEANING","GAP","MIDPOINT","JM","","Only one sighting of pkp. Survival status uncertain and no ID photo to assist.","","","","","","","","","",NA,"We do not have a good photo so nothing in ddfic and survival to weaning not known because of gap."
"62","PLG","PELLEGRINO","False","UNKNOWN","","BRT","","","","","","",NA,"","","YEAR ESTIMATE",2004-11-01,"2002-11-01","2004-11-01","","","SAS","","no age information","YEAR ESTIMATE","2009-05-01","UNCERTAIN SURVIVAL STATUS PREWEANING","RARELY SIGHTED","DEFAULT DATE","JM","","PLG only seen once and was an older calf so probably survived to weaning as would have been at least 2, but DF is too subtle to rule out sightings thereafter if PLG changed.","","","","","","","","","",NA,""
"63","POF","POOF","False","MALE","HIGH","GAF","","","","","","",NA,"","","MONTH ESTIMATE",2006-11-01,"","","INFANT FIRST SIGHT","","JM","","1.5-2 yrs old","","","","","","","","","MONTH ESTIMATE","2011-05-01","SIBLING BIRTH","","DEFAULT DATE","JM","","YES","GAF had GAU in late 2011 even though large gap in sightings.",NA,""
"64","POU","POUT","False","MALE","HIGH","SHO","SKE","","","E","","",NA,"","","MONTH ESTIMATE",2001-12-01,"","","INFANT FIRST SIGHT","","CF","","CF: FROM PHOTO, CALF LOOKS SAME SIZE AS MSL ON 9JAN03","","","","","","","","","MONTH ESTIMATE","2005-08-24","REDUCED MC ASSOCIATION","SIBLING BIRTH","MIDPOINT","","","YES","NEED 2005 DATA",2004,""
"65","PRR","PURR","False","UNKNOWN","","MEO","","","","","","",NA,"","","YEAR ESTIMATE",2007-11-01,"2006-11-01","2008-11-01","","","JM","","","","","","","","","","","MONTH ESTIMATE","2011-08-01","SIBLING BIRTH","","OTHER","JM","","YES","Sibling GWL huge in 2012 so PRR weaned before GWL bday.",NA,"mas and ek estimated 1-2 yrs old in oct 09."
"66","PRS","PARIS","False","FEMALE","HIGH","AMP","","","","A","","",NA,"","","MONTH ESTIMATE",2002-11-01,"2002-09-01","2003-01-01","","","JM","","sighted by RCC 21-Oct-03, looks like a yoy based on pictures-JM","YEAR ESTIMATE","2015-05-01","OVER 3 YEARS","","DEFAULT DATE","MHM","JM","","MONTH ESTIMATE","2005-05-01","REDUCED MC ASSOCIATION","","DEFAULT DATE","JM","","YES","PRS could have been weaned a few months earlier but did not want to use midpoint as that is too early.",NA,""
"67","PSS","PRESS","False","MALE","HIGH","PZZ","","","","","","",NA,"","","YEAR ESTIMATE",2006-11-01,"2004-11-01","2007-11-01","","","JM","","","","","","","","","","PSS sighted 2016","YEAR ESTIMATE","2011-02-09","GAP","GAP","MIDPOINT","JM","","NO","PZZ with males in 2012 but gap from 2009 to 2012.",NA,"ek estimated 2.5-3 yrs in 2009. PZZ"
"68","RAG","RANG","False","MALE","HIGH","BOM","RSP","LOW","Based on one parent SNPs.","H","","",NA,"","","WEEK ESTIMATE",2004-10-20,"","","INFANT FIRST SIGHT","","AKC","JM","NEWBORN CALF WITH FETAL FOLDS - INFANT FIRST SITE SHEET (F6089-6140 - ENTIRE SURVEY)","","","","","","","","","MONTH ESTIMATE","2008-04-15","","","","JM","","YES","3H FOCAL 5-AUG-07 AND RAG ATB BUT NOT SUCCESSFUL, BUT W MUM IN JAN 2008",2007,""
"69","RAW","RAW","False","","","RSH","","","haplotype assigned based on haplotype of mother","H","","",NA,"","","MONTH ESTIMATE",1997-11-01,"","","SPRING SUMMER YOY","","MRH","","YOY","YEAR ESTIMATE","2000-01-24","RARELY SIGHTED","GAP","","JM","","","","","","","","","","","",1998,""
"70","RDC","RADICAL","False","FEMALE","HIGH","GRV","PIK","HIGH","SNPs both parents.","D","","",NA,"","","WEEK ESTIMATE",2006-04-01,"","","INFANT FIRST SIGHT","","JM","","LESS THAN 2 MOS. FETAL LINES","","","","","","","","RDC Alive","YEAR ESTIMATE","2009-09-15","SIBLING BIRTH","","OTHER","SAS","","NO","",2006,""
"71","RGM","RAGTIME","False","","","REG","","","maternal relative","D","","",NA,"","","YEAR ESTIMATE",1992-11-01,"","","GAP","","JM","","COULD BE CONFUSION B/W LISTEN AND RAGTIME. NOT SURE IF SAME OR DIFFERENT CALF.","","","SIGHTING RECORD POOR","BIRTH DATE UNCERTAIN","","JM","","","","","","","","","","NO","",1993,""
"72","RSR","ROSE RED","False","UNKNOWN","","SNW","","","","","","",NA,"","","YEAR ESTIMATE",2002-11-01,"2001-11-01","2002-11-01","","","JM","","","","","UNCERTAIN SURVIVAL STATUS PREWEANING","","","","","","","","","","","","","NO","",NA,"JM estimated less than 2 years based on photo"
"73","RTA","RASTA","False","UNKNOWN","","REG","","","maternal relative","D","","",NA,"","","MONTH ESTIMATE",1995-11-01,"1995-09-01","1996-01-01","INFANT FIRST SIGHT","SPRING SUMMER YOY","JM","","PB said YOY at 1st sight but no other details.","YEAR ESTIMATE","1998-05-01","","SIBLING BIRTH","DEFAULT DATE","JM","","Reggae estimated to have gotten pregnant with Rumba by Nov97 and could have weaned RTA in 1998.","","","","","","","","","",NA,"We delayed on adding RASTA because of confusion with PB data which is not in the survey file. Need to add PB data as miscellaneous observations."
"74","RUM","RUMBA","False","MALE","HIGH","REG","","","","D","","",NA,"","","YEAR ESTIMATE",1998-11-01,"","","GAP","","JM","","FOLLOW OF RUMBA REGGAE FROM SKIPJACK POINT18-OCT-99 (JM); IF MEY BORN 2001, THEN BORN LATE 1998? REMEMBER THINKING WAS YOY- BUT THEN WOULD BE 3Y INTERVAL.","YEAR ESTIMATE","2007-05-01","OVER 3 YEARS","","DEFAULT DATE","EK","JM","Could have changed fin.","YEAR ESTIMATE","2001-10-01","REDUCED MC ASSOCIATION","","","JM","","YES","DATE IS BASED ON LAST FOLLOW OF RUM AND FIRST FOLLOW OF MEY - SINCE I DON'T HAVE ALL THE PERON DATA",2003,""
"75","SHB","SCHUBERT","False","FEMALE","HIGH","SCH","","","maternal relative","H","","",NA,"","","MONTH ESTIMATE",2003-11-01,"","","SPRING SUMMER YOY","","RCC","","YOY","","","","","","","","","YEAR ESTIMATE","2007-10-21","SIBLING BIRTH","","","","","NO","MIDPOINT BETWEEN SIB BIRTH AND LAST SIGHT TOGETHER",2006,""
"76","SIF","SKIFF","False","","","LIF","","","","","","",NA,"","","MONTH ESTIMATE",2003-11-01,"","","SPRING SUMMER YOY","","JM","","NO MENTION OF SIZE","WEEK ESTIMATE","2004-11-01","SIBLING BIRTH","","","JM","","SIF must have died soon after last sighting for mother to become pregnant with Lance","","","","","","","","DIED PREWEANING","",2004,""
"77","SIT","SPIRIT","False","MALE","HIGH","PHA","NAT","LOW","SNPs one parent","A","","",NA,"","","MONTH ESTIMATE",2003-11-01,"","","SPRING SUMMER YOY","","BLS","","CHECK BLS 04 DATA. First sighting should be 30-May-2004 by BLS.","","","","","","","","","MONTH ESTIMATE","2007-09-16","REDUCED MC ASSOCIATION","SIBLING BIRTH","MIDPOINT","JM","","YES","CHECCONIS SAW OPERA ON DEC 22, 2007 SO ASSUME SPIRIT WEANED BEFORE!",2006,"first sighting by JJW"
"78","SKP","SKIP","False","","","JUM","","","haplotype assigned based on haplotype of mother","D","","",NA,"","","YEAR ESTIMATE",1997-11-01,"","","MOTHER FIRST SIGHT WITH CALF","","JM","","NO MENTION OF SIZE; JUMP HERDED IN 00, SO CALF PROBABLY 2-3 YRS; <=SPRING 99-PROBABLY 97","MONTH ESTIMATE","2005-05-01","SIGHTED OFTEN PREVIOUSLY","","DEFAULT DATE","EK","JM","Distinctive fin.","YEAR ESTIMATE","2001-04-13","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","NO","BIRTHDATEUNKNOWN",2004,""
"79","SNV","SNIVELS","False","MALE","HIGH","WNG","RAS","HIGH","haplotype assigned based on haplotype of mother","D","","",NA,"","","MONTH ESTIMATE",2010-01-01,"2009-12-15","2010-01-15","","","EMP","","","","","","","","","","","MONTH ESTIMATE","2012-04-05","","","MIDPOINT","SAS","","YES","",NA,"estimated 4-5 mos at first sight"
"80","SSH","SPLASH","False","MALE","HIGH","RSH","","","haplotype assigned based on haplotype of mother","H","","",NA,"","","MONTH ESTIMATE",2001-11-01,"","","SPRING SUMMER YOY","","JM","","YOY 2002","MONTH ESTIMATE","2011-05-01","SIGHTED OFTEN PREVIOUSLY","","DEFAULT DATE","EK","JM","","MONTH ESTIMATE","2005-03-06","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","SAW RSH W/OUT SSH FOR LONG TIME DURING CHESTER FOLLOW",2004,""
"81","STA","STARLET","False","MALE","HIGH","PEG","REA","HIGH","SNPs and microsats same result.","A","","",NA,"","","DAY ESTIMATE",2003-01-01,"","","INFANT FIRST SIGHT","","AS","","CALF ESTIMATED TO BE 1-2 DAYS OLD","","","","","","","","","DAY ESTIMATE","2008-07-16","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","",2007,""
"82","SVY","SAVORY","False","UNKNOWN","","UMM","","","maternal relative","E","","",NA,"","","YEAR ESTIMATE",2004-11-01,"2004-11-01","2005-11-01","","","JM","","","","","","","","","","Unsure whether SVY survived because of large gap in UMM sightings","YEAR ESTIMATE","2009-01-17","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","NO","",NA,"looks like a 2004 or 2005 birth based on photos (JM)"
"83","TDO","TORNADO","False","FEMALE","HIGH","TOR","RSP","LOW","Based on information from halfsiblings with known mothers","E","","",NA,"","","MONTH ESTIMATE",2002-11-01,"2002-10-01","2003-01-01","INFANT FIRST SIGHT","","EK","JM","no age info but mom with males 27-Sep-01","","","","","","","","","MONTH ESTIMATE","2006-02-21","REDUCED MC ASSOCIATION","","MIDPOINT","SAS","","YES","",NA,""
"84","TOM","TOM THUMB","False","","","THU","","","","","","",NA,"","","YEAR ESTIMATE",1996-11-01,"1995-11-01","1997-11-01","","","JM","","has cookie-like pd shark bite, about 4 years old; THU sighted 26-Jun-02 without calf","","","STOPPED SIGHTING POST WEANING","","","","","Could be at Peron. Images not great but shape is distinctive.","MONTH ESTIMATE","2002-01-13","","","MIDPOINT","SAS","","NO","",NA,""
"85","TSM","TOOTHSOME","False","UNKNOWN","","TST","","","maternal relative","A","","",NA,"","","YEAR ESTIMATE",2003-11-01,"","","","","JM","","","","","UNCERTAIN SURVIVAL STATUS PREWEANING","GAP","","","","Unsure whether TSM survived because of large gap in TST sightings","","","","","","","","NO","",NA,"looks large in photos (JM)"
"86","TTM","TANTRUM","False","FEMALE","HIGH","WNG","AJA","HIGH","SNPs both parents.","D","","",NA,"","","MONTH ESTIMATE",2006-11-01,"","","INFANT FIRST SIGHT","","QAG","","INFANT FIRST SIGHT SHEET","","","","","","","","","MONTH ESTIMATE","2009-06-01","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","TTM NOT FAR FROM WNG, SO THINK SIGHTED VERY SOON AFTER WEANING.",2007,""
"87","TYH","TYPHOON","False","","","SKW","","","","","","",NA,"","","WEEK ESTIMATE",2002-12-01,"2002-11-01","2002-12-01","INFANT FIRST SIGHT","","AS","JM","CALF LOOKS TO BE YOY BUT NOT NEWBORN, WAD-SIZED, NO FETAL STRIPES, NORMAL SURFACINGS, PROLONGED BP; NEONATAL ASSESSMENT DONE. First seen 7-Mar-2003.","","","OVER 3 YEARS","GAP","DEFAULT DATE","JM","MHM","Last seen 07-Dec-2004. Mom being herded in Oct of 2004. Could have died just before or just after weaning. Note 2024 check potential match with CRT before assigning death date.","","","","","","","","NO","",2004,""
"88","VCN","VULCAN","False","MALE","HIGH","TST","HEL","HIGH","","A","","",NA,"","","YEAR ESTIMATE",2006-11-01,"2005-11-01","2006-11-01","SSSS","","EK","VF","MidIdentified so was given wrong bday. Seen in 2011 and a juvie. Offspring of TST.","","","","","","","","","YEAR ESTIMATE","2010-05-01","","","DEFAULT DATE","JM","","NO","VCN identified as offspring based on DNA. Never seen with TST but based on siblings we could estimate birth year and weaning year.",NA,""
"89","VLT","VAULT","False","FEMALE","HIGH","AMP","","","maternal relative. Note that first DNA sample likely either contaminated or ID error because initial sexing was incorrect.","A","","",NA,"","","MONTH ESTIMATE",2006-12-01,"2006-11-15","2007-11-01","","","JM","","estimated 2 yrs old in 2009. amp last sighted before calf birth in 2006","","","","","","","","","MONTH ESTIMATE","2011-04-26","","","MIDPOINT","SAS","","YES","Vault in bp with Amp 19-Oct-10 and without mom 1-Nov-11.  Amp was with males 19-Oct-10.",NA,""
"90","WAX","WAXING","False","UNKNOWN","","FMN","","","","","","",NA,"","","YEAR ESTIMATE",2008-11-01,"2006-11-01","2008-11-01","MOTHER FIRST SIGHT WITH CALF","","EK","","Calf was large at first sighting and was weaned that year so could have been 3-5 years old.","","","","","","","","","MONTH ESTIMATE","2012-05-01","SIBLING BIRTH","","DEFAULT DATE","EK","","NO","Weaning date is good but birthdate is uncertain. Mother had new calf later that year.",NA,""
"91","WDC","WOODCHIP","False","","","CED","","","","","","",NA,"","","MONTH ESTIMATE",2008-11-01,"","","INFANT FIRST SIGHT","","JM","","yoy, no fetal stripes, in bp, dorsal erect","","","UNCERTAIN SURVIVAL STATUS PREWEANING","","","","","CED sighted 23Jun11 by JM EMP but in large group so WDC could have been there and is weaned or dead.","","","","","","","","","",NA,""
"92","WHN","WHINE","False","FEMALE","HIGH","WNG","","","","D","","",NA,"","","MONTH ESTIMATE",2002-11-01,"","","SPRING SUMMER YOY","","JM","","NO SIZE INFORMATION","","","","","","","","","MONTH ESTIMATE","2005-11-11","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","CHECK 2006 DATE",2007,""
"93","WHR","WHISPER","False","UNKNOWN","","SHO","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","DAY ESTIMATE",2009-11-03,"2009-10-31","2009-11-04","","","MAS","","","","","","","","","","","WEEK ESTIMATE","2013-08-26","","","MIDPOINT","EK","JM","YES","",NA,"lumpy, echelon, fin not fully erect so gave assume its one day old, very synch with mum"
